0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
"[0.14748205244541168, 0.38589194416999817, -0.23479540646076202]","[0.14449739456176758, 0.3731978237628937, -0.21643908321857452]","[0.14464810490608215, 0.37171199917793274, -0.21643969416618347]","[0.14485636353492737, 0.3695676624774933, -0.21642951667308807]","[0.13902878761291504, 0.37542879581451416, -0.2374742329120636]","[0.1360197365283966, 0.3754848837852478, -0.23746351897716522]","[0.1329909712076187, 0.3749827742576599, -0.23749153316020966]","[0.14853820204734802, 0.3643408417701721, -0.09481115639209747]","[0.12369750440120697, 0.3714296221733093, -0.20100851356983185]","[0.1495351940393448, 0.3920619785785675, -0.18699444830417633]","[0.1407625824213028, 0.39423710107803345, -0.21520337462425232]","[0.14812205731868744, 0.4081953167915344, 0.037191636860370636]","[0.11399264633655548, 0.4273394048213959, -0.21358934044837952]","[0.16609175503253937, 0.42950525879859924, 0.1773938238620758]","[0.11752144992351532, 0.5004956722259521, -0.238729789853096]","[0.18314096331596375, 0.44193869829177856, 0.222738116979599]","[0.13436290621757507, 0.5762640237808228, -0.2497110664844513]","[0.1887730062007904, 0.4500286281108856, 0.22992506623268127]","[0.1346004158258438, 0.5983445644378662, -0.2707827091217041]","[0.19065070152282715, 0.4476054012775421, 0.20761802792549133]","[0.14170733094215393, 0.5986639261245728, -0.2832269072532654]","[0.189263254404068, 0.4473752975463867, 0.2133154571056366]","[0.14187943935394287, 0.5865431427955627, -0.2528464198112488]","[0.17166806757450104, 0.5888919234275818, 0.0841900035738945]","[0.1465044915676117, 0.5972696542739868, -0.08428855240345001]","[0.19779781997203827, 0.6825345158576965, 0.20889918506145477]","[0.14632727205753326, 0.7098346948623657, 0.021624285727739334]","[0.20404848456382751, 0.7877824902534485, 0.35471174120903015]","[0.14941583573818207, 0.8345201015472412, 0.14576394855976105]","[0.19840355217456818, 0.806122899055481, 0.3665076494216919]","[0.13422664999961853, 0.8564199209213257, 0.15597426891326904]","[0.24345345795154572, 0.8178287744522095, 0.33200520277023315]","[0.18748097121715546, 0.8634354472160339, 0.08235971629619598]"
"[0.14697900414466858, 0.396312415599823, -0.23376543819904327]","[0.14620447158813477, 0.38120195269584656, -0.21615128219127655]","[0.14723938703536987, 0.3796614110469818, -0.216159388422966]","[0.14811570942401886, 0.37796682119369507, -0.21616153419017792]","[0.1401015818119049, 0.38221070170402527, -0.2350662499666214]","[0.1370995044708252, 0.38194137811660767, -0.23507070541381836]","[0.13442407548427582, 0.38137468695640564, -0.2351001501083374]","[0.148093581199646, 0.37318530678749084, -0.103635773062706]","[0.12591269612312317, 0.37999626994132996, -0.19075660407543182]","[0.14919479191303253, 0.40343913435935974, -0.18818393349647522]","[0.14072665572166443, 0.4052296280860901, -0.21335797011852264]","[0.15012061595916748, 0.4242193400859833, 0.034970227628946304]","[0.11540703475475311, 0.4409686326980591, -0.19230060279369354]","[0.164468914270401, 0.44693124294281006, 0.18538394570350647]","[0.11969032138586044, 0.5182799100875854, -0.18995407223701477]","[0.1820012778043747, 0.4625493586063385, 0.23113398253917694]","[0.13229793310165405, 0.5759039521217346, -0.1890546679496765]","[0.1883997917175293, 0.4732225835323334, 0.23955853283405304]","[0.13050726056098938, 0.5974892377853394, -0.20512652397155762]","[0.18641449511051178, 0.4690856337547302, 0.21864254772663116]","[0.13715462386608124, 0.5963646769523621, -0.22042343020439148]","[0.18409161269664764, 0.46720999479293823, 0.22253212332725525]","[0.1381470113992691, 0.5864904522895813, -0.19316601753234863]","[0.17159214615821838, 0.5950227379798889, 0.07478144019842148]","[0.14674130082130432, 0.6075737476348877, -0.07481948286294937]","[0.20567293465137482, 0.6859884858131409, 0.15475083887577057]","[0.14217232167720795, 0.7171235680580139, 0.033548638224601746]","[0.20441827178001404, 0.7887453436851501, 0.26417842507362366]","[0.14838072657585144, 0.8335239887237549, 0.17086276412010193]","[0.19852785766124725, 0.8064072132110596, 0.27167558670043945]","[0.13386037945747375, 0.8551121354103088, 0.18195697665214539]","[0.2439180314540863, 0.8177812695503235, 0.22485098242759705]","[0.1835312694311142, 0.8624029159545898, 0.11058574914932251]"
"[0.14484933018684387, 0.38420313596725464, -0.2873620092868805]","[0.1446177363395691, 0.3657546043395996, -0.26842308044433594]","[0.14681708812713623, 0.3654686510562897, -0.26841646432876587]","[0.1506844311952591, 0.35363417863845825, -0.2683942914009094]","[0.13620491325855255, 0.36691853404045105, -0.2868010401725769]","[0.13287760317325592, 0.36767110228538513, -0.28685688972473145]","[0.1303810030221939, 0.36720743775367737, -0.2869129776954651]","[0.14909639954566956, 0.3540959656238556, -0.1531626284122467]","[0.12233465909957886, 0.36986488103866577, -0.23257681727409363]","[0.147994726896286, 0.393869012594223, -0.24168121814727783]","[0.13741031289100647, 0.39701786637306213, -0.2660869061946869]","[0.15392756462097168, 0.4071979224681854, -0.012450607493519783]","[0.11088641732931137, 0.43992727994918823, -0.20248207449913025]","[0.16357851028442383, 0.4787502884864807, 0.0950649306178093]","[0.1132449358701706, 0.5273921489715576, -0.24288007616996765]","[0.18109765648841858, 0.5405995845794678, 0.08153899013996124]","[0.13643766939640045, 0.5805150866508484, -0.24794873595237732]","[0.1880694478750229, 0.5635366439819336, 0.08059927076101303]","[0.13785068690776825, 0.600738525390625, -0.27012738585472107]","[0.1827116459608078, 0.5621166229248047, 0.05871312692761421]","[0.14732696115970612, 0.5988491773605347, -0.27844497561454773]","[0.18345233798027039, 0.5558483004570007, 0.07187004387378693]","[0.14459751546382904, 0.5887802243232727, -0.2489633858203888]","[0.16975319385528564, 0.58675217628479, 0.07133422791957855]","[0.1428619921207428, 0.5992867946624756, -0.0714622512459755]","[0.2093006670475006, 0.6871156096458435, 0.15881270170211792]","[0.1410091370344162, 0.718853235244751, 0.018041612580418587]","[0.20473697781562805, 0.7886095643043518, 0.3009900450706482]","[0.14883558452129364, 0.8329499363899231, 0.16231277585029602]","[0.19804610311985016, 0.8057928085327148, 0.30893903970718384]","[0.13481083512306213, 0.8543203473091125, 0.17416486144065857]","[0.24422426521778107, 0.8181018233299255, 0.26849403977394104]","[0.18517254292964935, 0.8618466258049011, 0.09566296637058258]"
"[0.14287200570106506, 0.38260409235954285, -0.3002299666404724]","[0.14348000288009644, 0.37059491872787476, -0.2809043824672699]","[0.14600998163223267, 0.37022972106933594, -0.28089994192123413]","[0.15138325095176697, 0.35223376750946045, -0.2808924913406372]","[0.13487623631954193, 0.3713498115539551, -0.2990701198577881]","[0.13179653882980347, 0.3715279996395111, -0.2991334795951843]","[0.12918630242347717, 0.37127456068992615, -0.2992036044597626]","[0.14827784895896912, 0.35486653447151184, -0.16507145762443542]","[0.12159083783626556, 0.37210750579833984, -0.24585381150245667]","[0.146197110414505, 0.39203721284866333, -0.2543322443962097]","[0.13576963543891907, 0.3947586417198181, -0.27841717004776]","[0.1536971628665924, 0.4073416292667389, -0.02209499105811119]","[0.10620763152837753, 0.4415262043476105, -0.22230830788612366]","[0.16271133720874786, 0.4802917242050171, 0.10878348350524902]","[0.11003564298152924, 0.5355479717254639, -0.24254953861236572]","[0.18029659986495972, 0.5343338847160339, 0.1247468814253807]","[0.13406631350517273, 0.5857030749320984, -0.2474088966846466]","[0.18704508244991302, 0.5540095567703247, 0.12948229908943176]","[0.13731487095355988, 0.6048299074172974, -0.267977237701416]","[0.18456551432609558, 0.5524498820304871, 0.10829758644104004]","[0.14524975419044495, 0.5999373197555542, -0.2775394320487976]","[0.1827477514743805, 0.5478788614273071, 0.11627404391765594]","[0.14333634078502655, 0.5911678671836853, -0.24856671690940857]","[0.1658838987350464, 0.5863850712776184, 0.0692526325583458]","[0.1375264972448349, 0.5989266633987427, -0.06939814984798431]","[0.20974142849445343, 0.6863898038864136, 0.13056668639183044]","[0.13836941123008728, 0.7201642990112305, 0.011988384649157524]","[0.20498542487621307, 0.7901890873908997, 0.2684747576713562]","[0.14769670367240906, 0.8322947025299072, 0.15934035181999207]","[0.19772641360759735, 0.8079021573066711, 0.2784017324447632]","[0.13437247276306152, 0.8538569808006287, 0.17147764563560486]","[0.24540886282920837, 0.8189086318016052, 0.23115091025829315]","[0.18520568311214447, 0.8619163632392883, 0.09287220984697342]"
"[0.1408497393131256, 0.3761321008205414, -0.32044464349746704]","[0.14069832861423492, 0.36650341749191284, -0.3012441396713257]","[0.1469496637582779, 0.3634236752986908, -0.3012348711490631]","[0.15167321264743805, 0.3465340733528137, -0.3012115955352783]","[0.13247542083263397, 0.36652672290802, -0.32138150930404663]","[0.12964387238025665, 0.36671850085258484, -0.321448415517807]","[0.12700001895427704, 0.3665650486946106, -0.32151034474372864]","[0.14706535637378693, 0.34985700249671936, -0.18391737341880798]","[0.11945678293704987, 0.36858466267585754, -0.27586859464645386]","[0.1441396027803421, 0.3884738087654114, -0.2738439440727234]","[0.13397765159606934, 0.3910045921802521, -0.300555557012558]","[0.1534731388092041, 0.40657567977905273, -0.04184630140662193]","[0.10373848676681519, 0.4425492286682129, -0.2619026005268097]","[0.1624937653541565, 0.4846910536289215, 0.06789600849151611]","[0.10804027318954468, 0.5391112565994263, -0.2533174157142639]","[0.17976263165473938, 0.5438612103462219, 0.04629760980606079]","[0.13341818749904633, 0.5886560082435608, -0.2647877335548401]","[0.18654370307922363, 0.5659493207931519, 0.04321664199233055]","[0.13639631867408752, 0.6069057583808899, -0.28763091564178467]","[0.18553376197814941, 0.5637792348861694, 0.019735997542738914]","[0.14387236535549164, 0.6005853414535522, -0.29659202694892883]","[0.18230198323726654, 0.5580463409423828, 0.03553697094321251]","[0.14221447706222534, 0.592538058757782, -0.2659579813480377]","[0.1650199592113495, 0.586469292640686, 0.06849301606416702]","[0.13574135303497314, 0.6004506349563599, -0.06861450523138046]","[0.20865416526794434, 0.6871840953826904, 0.1491113007068634]","[0.1374759078025818, 0.7219161987304688, 0.01913263089954853]","[0.20612725615501404, 0.7918847799301147, 0.2933259904384613]","[0.1481994092464447, 0.8335034847259521, 0.17681154608726501]","[0.1998291164636612, 0.8105237483978271, 0.3037523627281189]","[0.13604244589805603, 0.853836178779602, 0.18870089948177338]","[0.24989578127861023, 0.8185804486274719, 0.2524349093437195]","[0.18582946062088013, 0.864051103591919, 0.09621817618608475]"
"[0.14051029086112976, 0.3831064999103546, -0.32184404134750366]","[0.13999544084072113, 0.37201017141342163, -0.30392366647720337]","[0.14353196322917938, 0.3714931905269623, -0.30391860008239746]","[0.15116438269615173, 0.34948545694351196, -0.30389586091041565]","[0.13194997608661652, 0.37230557203292847, -0.3242432475090027]","[0.12897829711437225, 0.3724464774131775, -0.3243193030357361]","[0.12624870240688324, 0.3723561465740204, -0.3243815302848816]","[0.14514893293380737, 0.3535533845424652, -0.1898084133863449]","[0.1183507889509201, 0.37350714206695557, -0.2837062478065491]","[0.14341305196285248, 0.39357611536979675, -0.27630817890167236]","[0.13349315524101257, 0.3962811529636383, -0.30343639850616455]","[0.15336164832115173, 0.4099212884902954, -0.05279850214719772]","[0.10061684995889664, 0.44848304986953735, -0.26717355847358704]","[0.16212347149848938, 0.48453280329704285, 0.05402420833706856]","[0.10545661300420761, 0.5461517572402954, -0.2563478648662567]","[0.17948578298091888, 0.5415447950363159, 0.03263258934020996]","[0.1310701072216034, 0.5973137021064758, -0.24514222145080566]","[0.1865512728691101, 0.5624358654022217, 0.029002349823713303]","[0.13359500467777252, 0.6168676614761353, -0.2653668522834778]","[0.18610848486423492, 0.5605708360671997, 0.006678812205791473]","[0.14181777834892273, 0.6101409196853638, -0.2744625210762024]","[0.18206146359443665, 0.555326521396637, 0.02239835634827614]","[0.14059659838676453, 0.6020706295967102, -0.24591855704784393]","[0.16419945657253265, 0.5883995890617371, 0.06589116901159286]","[0.13330191373825073, 0.6035492420196533, -0.06599002331495285]","[0.20726759731769562, 0.6907071471214294, 0.14873316884040833]","[0.13721664249897003, 0.7198032140731812, 0.020413149148225784]","[0.2138480246067047, 0.7966766357421875, 0.2680354714393616]","[0.14679570496082306, 0.8336715698242188, 0.1757936179637909]","[0.2082594335079193, 0.8198532462120056, 0.2751602828502655]","[0.13626687228679657, 0.8537023067474365, 0.1853032112121582]","[0.2566952109336853, 0.8185485601425171, 0.2131742238998413]","[0.18502789735794067, 0.8653219938278198, 0.09079807251691818]"
"[0.13971123099327087, 0.38449937105178833, -0.3298865854740143]","[0.1391078680753708, 0.3721303939819336, -0.3121452033519745]","[0.14147761464118958, 0.37152233719825745, -0.3121357262134552]","[0.1450536847114563, 0.36690324544906616, -0.3121322989463806]","[0.13184618949890137, 0.3732844889163971, -0.332669198513031]","[0.1290205419063568, 0.3735528886318207, -0.33274662494659424]","[0.12640216946601868, 0.37359723448753357, -0.3328045606613159]","[0.13928332924842834, 0.3668067157268524, -0.19792208075523376]","[0.118508480489254, 0.3754996657371521, -0.2924080789089203]","[0.1424408107995987, 0.3943727910518646, -0.28406980633735657]","[0.1329984962940216, 0.39701610803604126, -0.3113773465156555]","[0.1517108529806137, 0.41489121317863464, -0.05645738169550896]","[0.09951411932706833, 0.45037978887557983, -0.27129000425338745]","[0.16061727702617645, 0.48372185230255127, 0.06634391844272614]","[0.10418470948934555, 0.5480139255523682, -0.255365788936615]","[0.17917941510677338, 0.52778559923172, 0.06253495812416077]","[0.1302487701177597, 0.5972334146499634, -0.23937742412090302]","[0.18622741103172302, 0.5439947843551636, 0.06191053241491318]","[0.13479888439178467, 0.6164509654045105, -0.2580164968967438]","[0.18572711944580078, 0.5409044623374939, 0.04013771563768387]","[0.1424553096294403, 0.609671950340271, -0.2675056457519531]","[0.1819130927324295, 0.5371924042701721, 0.05299326032400131]","[0.14030978083610535, 0.6021332144737244, -0.24010595679283142]","[0.16127769649028778, 0.5884326100349426, 0.06591589003801346]","[0.13055585324764252, 0.6035077571868896, -0.06603066623210907]","[0.2023419886827469, 0.695728063583374, 0.14152714610099792]","[0.13707634806632996, 0.7197915315628052, 0.014135422185063362]","[0.21733149886131287, 0.8004211783409119, 0.2464463710784912]","[0.14662957191467285, 0.8379811644554138, 0.14772167801856995]","[0.2132701426744461, 0.827163815498352, 0.252273291349411]","[0.13642281293869019, 0.8552543520927429, 0.15621401369571686]","[0.2614656090736389, 0.8144049048423767, 0.1908586323261261]","[0.1850024312734604, 0.8666756749153137, 0.06436657905578613]"
"[0.13877025246620178, 0.39148905873298645, -0.3269411325454712]","[0.13913771510124207, 0.3774915635585785, -0.3088526427745819]","[0.14156994223594666, 0.37708181142807007, -0.3088541626930237]","[0.14453642070293427, 0.3760720491409302, -0.30886417627334595]","[0.13076262176036835, 0.3790176510810852, -0.3281545042991638]","[0.1273929476737976, 0.3796725571155548, -0.32822734117507935]","[0.1244257241487503, 0.3802229166030884, -0.32828617095947266]","[0.13897353410720825, 0.3745165467262268, -0.19037534296512604]","[0.11609645932912827, 0.38180914521217346, -0.2799615263938904]","[0.1418548971414566, 0.39982476830482483, -0.27893027663230896]","[0.13119174540042877, 0.40297582745552063, -0.3044423758983612]","[0.14675810933113098, 0.4191589057445526, -0.042932212352752686]","[0.10000486671924591, 0.44988954067230225, -0.26070263981819153]","[0.15563639998435974, 0.48266884684562683, 0.080644890666008]","[0.10266628116369247, 0.5479861497879028, -0.23739103972911835]","[0.1760489046573639, 0.520675778388977, 0.08984212577342987]","[0.12659627199172974, 0.5978091955184937, -0.23033277690410614]","[0.18401415646076202, 0.5350249409675598, 0.09160895645618439]","[0.13015606999397278, 0.6176525950431824, -0.24919776618480682]","[0.1850530207157135, 0.5318911075592041, 0.06942448765039444]","[0.1379968822002411, 0.6102132201194763, -0.2602398991584778]","[0.1805075854063034, 0.5288798213005066, 0.080314040184021]","[0.13668832182884216, 0.6030787825584412, -0.23186349868774414]","[0.15577079355716705, 0.5900713801383972, 0.06653018295764923]","[0.12904833257198334, 0.6035863757133484, -0.06662807613611221]","[0.19342339038848877, 0.7029005289077759, 0.10722129046916962]","[0.13684400916099548, 0.7211949229240417, -0.0043871644884347916]","[0.21823136508464813, 0.8059379458427429, 0.18558357656002045]","[0.1468605399131775, 0.839952290058136, 0.1126558780670166]","[0.21621060371398926, 0.8346232175827026, 0.1883457750082016]","[0.1368544101715088, 0.8561718463897705, 0.11954716593027115]","[0.26438015699386597, 0.8112329244613647, 0.12262801826000214]","[0.18455272912979126, 0.8663433790206909, 0.028249526396393776]"
"[0.13786664605140686, 0.39730188250541687, -0.3319976031780243]","[0.13890770077705383, 0.38120323419570923, -0.3137969374656677]","[0.14132998883724213, 0.3803826868534088, -0.31380587816238403]","[0.14392755925655365, 0.37951499223709106, -0.3138216435909271]","[0.12970320880413055, 0.3836766481399536, -0.33299726247787476]","[0.12586474418640137, 0.38449352979660034, -0.33308014273643494]","[0.12252168357372284, 0.3851650655269623, -0.3331514298915863]","[0.13828915357589722, 0.3769185245037079, -0.19377605617046356]","[0.11346380412578583, 0.3854075074195862, -0.28115975856781006]","[0.1412442922592163, 0.40480145812034607, -0.28328806161880493]","[0.12983110547065735, 0.4082769453525543, -0.3085290193557739]","[0.14478616416454315, 0.419790118932724, -0.04123474285006523]","[0.09683229774236679, 0.45285099744796753, -0.2587575316429138]","[0.15417146682739258, 0.4820482134819031, 0.08472783863544464]","[0.0984269306063652, 0.5478729605674744, -0.23898394405841827]","[0.17181389033794403, 0.5249354243278503, 0.08383234590291977]","[0.12069599330425262, 0.6035750508308411, -0.24049696326255798]","[0.17928963899612427, 0.5411935448646545, 0.08595941215753555]","[0.1241433247923851, 0.6243478655815125, -0.25968068838119507]","[0.18035949766635895, 0.5384120941162109, 0.063120536506176]","[0.1335999220609665, 0.6177863478660583, -0.27116283774375916]","[0.17589130997657776, 0.5346923470497131, 0.07422295957803726]","[0.13273175060749054, 0.6087790131568909, -0.24221567809581757]","[0.15401458740234375, 0.5889015793800354, 0.06642761081457138]","[0.12483613193035126, 0.6030234694480896, -0.06651732325553894]","[0.18756331503391266, 0.7044057250022888, 0.06723092496395111]","[0.1361066997051239, 0.7204453349113464, -0.04015519469976425]","[0.2198474407196045, 0.8080109357833862, 0.12296488136053085]","[0.1456514596939087, 0.8393478989601135, 0.051075078547000885]","[0.22016683220863342, 0.8377529978752136, 0.1230626329779625]","[0.1363069862127304, 0.8558720946311951, 0.05512664467096329]","[0.26566198468208313, 0.807475209236145, 0.053595781326293945]","[0.18340227007865906, 0.862377405166626, -0.03832249343395233]"
"[0.13722065091133118, 0.399260014295578, -0.318206250667572]","[0.13833768665790558, 0.38270777463912964, -0.30034035444259644]","[0.14051473140716553, 0.3817375898361206, -0.30040088295936584]","[0.1426769644021988, 0.38081783056259155, -0.3004525899887085]","[0.1294425129890442, 0.3849981725215912, -0.31699052453041077]","[0.12556280195713043, 0.3856010138988495, -0.31709516048431396]","[0.12214191257953644, 0.3861052095890045, -0.3171575665473938]","[0.13623914122581482, 0.3780616223812103, -0.18070799112319946]","[0.11214709281921387, 0.38589489459991455, -0.26197296380996704]","[0.14062300324440002, 0.4066731631755829, -0.2689911127090454]","[0.12933292984962463, 0.4094041585922241, -0.29126957058906555]","[0.14201512932777405, 0.42674383521080017, -0.030818769708275795]","[0.09586101770401001, 0.4522663950920105, -0.24391308426856995]","[0.15041156113147736, 0.4938996732234955, 0.08590501546859741]","[0.0964299663901329, 0.5476781129837036, -0.23411650955677032]","[0.16895423829555511, 0.5415411591529846, 0.07898738980293274]","[0.11657361686229706, 0.605458676815033, -0.23937411606311798]","[0.17674455046653748, 0.5592182874679565, 0.07986237853765488]","[0.11931270360946655, 0.6291013360023499, -0.2599382996559143]","[0.17792552709579468, 0.5570960640907288, 0.056063998490571976]","[0.12948064506053925, 0.6222535967826843, -0.27039313316345215]","[0.17325228452682495, 0.5526826977729797, 0.06866021454334259]","[0.12973949313163757, 0.6136602759361267, -0.2412133663892746]","[0.15224583446979523, 0.5909498929977417, 0.06627480685710907]","[0.12489725649356842, 0.6047486662864685, -0.0663335770368576]","[0.18473473191261292, 0.7055712938308716, 0.06659779697656631]","[0.136360764503479, 0.7241162061691284, -0.02924107015132904]","[0.21902480721473694, 0.8103426694869995, 0.12367800623178482]","[0.14585581421852112, 0.838642954826355, 0.07032321393489838]","[0.21853145956993103, 0.8400474786758423, 0.12417912483215332]","[0.1363557130098343, 0.8557542562484741, 0.07505699247121811]","[0.26345738768577576, 0.8075149059295654, 0.05571134015917778]","[0.18327349424362183, 0.8618938326835632, -0.01604723557829857]"
"[0.1359567940235138, 0.3953566253185272, -0.2796404957771301]","[0.1363811194896698, 0.3794480264186859, -0.2623685896396637]","[0.13810066878795624, 0.3784390091896057, -0.26239991188049316]","[0.1397879272699356, 0.37727341055870056, -0.26241472363471985]","[0.12879088521003723, 0.381320595741272, -0.2835461497306824]","[0.12534593045711517, 0.38176149129867554, -0.28362205624580383]","[0.12209967523813248, 0.38211360573768616, -0.283697247505188]","[0.133745476603508, 0.3754337430000305, -0.1547507345676422]","[0.1127927303314209, 0.3825778365135193, -0.25087228417396545]","[0.1391647756099701, 0.40364161133766174, -0.23625950515270233]","[0.12864720821380615, 0.4062904715538025, -0.26416879892349243]","[0.14008435606956482, 0.4217919707298279, -0.023251600563526154]","[0.09431680291891098, 0.4525916874408722, -0.2403298169374466]","[0.1495703011751175, 0.49047431349754333, 0.08738578855991364]","[0.09359803795814514, 0.5462741851806641, -0.2349705696105957]","[0.16640284657478333, 0.5414183139801025, 0.0868832916021347]","[0.11246242374181747, 0.6067606806755066, -0.23902657628059387]","[0.1733195185661316, 0.5596349835395813, 0.08924686163663864]","[0.1142258420586586, 0.630808413028717, -0.2600307762622833]","[0.17342312633991241, 0.5568139553070068, 0.06655897200107574]","[0.12470167875289917, 0.6241094470024109, -0.2715434432029724]","[0.1692110151052475, 0.5522475838661194, 0.07695070654153824]","[0.12552568316459656, 0.6154769062995911, -0.2414746731519699]","[0.15320946276187897, 0.5938000082969666, 0.0662139356136322]","[0.12399452924728394, 0.6077948808670044, -0.06627003103494644]","[0.18691673874855042, 0.7054702639579773, 0.0932774692773819]","[0.13510064780712128, 0.7275077700614929, -0.017931919544935226]","[0.2179107666015625, 0.8098952770233154, 0.1760406643152237]","[0.1460542380809784, 0.8382022380828857, 0.09421782195568085]","[0.21625180542469025, 0.8390187621116638, 0.1794673502445221]","[0.1364143043756485, 0.8556910157203674, 0.10042490065097809]","[0.26181843876838684, 0.8070418238639832, 0.11471793800592422]","[0.18343646824359894, 0.8614731431007385, 0.009915048256516457]"
