Frame,Centre,nose,left eye(inner),left eye,left eye(outer),right eye(inner),right eye,right eye(outer),left ear,right ear,mouth(left),mouth(right),left shoulder,right shoulder,left elbow,right elbow,left wrist,right wrist,left pinky,right pinky,left index,right index,left thumb,right thumb,left hip,right hip,left knee,right knee,left ankle,right ankle,left heel,right heel,left foot index,right foot index
21.0,0.350090448503141/0.8588489352001084/0.2987502989773121,0.3033626675605774/-0.19003301858901978/0.4206331968307495,0.26468363404273987/-0.25243955850601196/0.34618595242500305,0.25382310152053833/-0.24592304229736328/0.34619414806365967,0.24259786307811737/-0.23917284607887268/0.34585240483283997,0.29317328333854675/-0.259194016456604/0.3232470452785492,0.3011184632778168/-0.25699979066848755/0.3230319917201996,0.319787859916687/-0.2421422004699707/0.32263171672821045,0.2224046140909195/-0.19174551963806152/0.08654307574033737,0.32063060998916626/-0.2058757096529007/-0.005953580606728792,0.28924456238746643/-0.13663731515407562/0.3503592312335968,0.31124264001846313/-0.1443917155265808/0.32220882177352905,0.1631161868572235/0.09332625567913055/0.08419685065746307,0.390049010515213/0.07453533262014389/-0.19885104894638062,0.21247416734695435/0.5259241461753845/0.18152576684951782,0.4867344796657562/0.4303800165653229/-0.040065109729766846,0.32849711179733276/0.7104817628860474/0.40811461210250854,0.47927916049957275/0.6572981476783752/0.39812543988227844,0.35059654712677/0.7671204805374146/0.4377748370170593,0.48517748713493347/0.6894389390945435/0.4556111991405487,0.3692219853401184/0.7314537167549133/0.4256165623664856,0.4846338629722595/0.6748852729797363/0.44576406478881836,0.3653515875339508/0.7126511931419373/0.40462225675582886,0.4763669967651367/0.663222074508667/0.4047737419605255,0.24100129306316376/0.8974898457527161/0.08841157704591751,0.383901447057724/0.867435097694397/-0.08803652226924896,0.3088253438472748/1.426700472831726/0.3107084035873413,0.35426658391952515/1.5102002620697021/0.07554802298545837,0.3568081855773926/1.9925498962402344/0.7032835483551025,0.3369963765144348/2.110478401184082/0.36085182428359985,0.3575083911418915/2.092529535293579/0.7456904053688049,0.32463976740837097/2.215008020401001/0.3861079514026642,0.38814619183540344/2.0506985187530518/0.6815283298492432,0.3619648516178131/2.16379714012146/0.22116461396217346
22.0,0.3550263588075285/0.8495912063452933/0.297858202588503,0.28853839635849/-0.2093278020620346/0.4512633979320526,0.2621496915817261/-0.25867730379104614/0.36820945143699646,0.25272074341773987/-0.25382867455482483/0.3682626485824585,0.24313895404338837/-0.24869811534881592/0.3678886294364929,0.2869948744773865/-0.2678334414958954/0.359740287065506,0.2946818470954895/-0.2693733870983124/0.359570175409317,0.30698999762535095/-0.2670399844646454/0.3591638505458832,0.22362084686756134/-0.208781898021698/0.08722343295812607,0.31504619121551514/-0.2354733645915985/0.054838165640830994,0.2759786546230316/-0.15670955181121826/0.37218713760375977,0.2985748052597046/-0.16730213165283203/0.3626195192337036,0.16562160849571228/0.07912237197160721/0.02809552475810051,0.3838902711868286/0.06791049242019653/-0.07651283591985703,0.22204284369945526/0.49862784147262573/0.0867934301495552,0.4823163151741028/0.3847740888595581/0.0449603796005249,0.3271348178386688/0.7071689367294312/0.2688150107860565,0.4885565936565399/0.6548506617546082/0.3714149594306946,0.3495279848575592/0.7645595073699951/0.2737044394016266,0.4920496642589569/0.6822317242622375/0.4158990681171417,0.3665100336074829/0.7284564971923828/0.27626675367355347,0.4913507103919983/0.6744067072868347/0.39976391196250916,0.36155256628990173/0.7107487320899963/0.26906150579452515,0.48365890979766846/0.6624881625175476/0.37107864022254944,0.2418942153453827/0.8909006118774414/0.01219375804066658,0.3913509249687195/0.8537088632583618/-0.011656210757791996,0.3241919279098511/1.4291832447052002/0.2594507038593292,0.35848239064216614/1.5067371129989624/0.17554087936878204,0.3802870810031891/2.001283884048462/0.7063351273536682,0.3600708544254303/2.105341911315918/0.5295183658599854,0.38558170199394226/2.1016788482666016/0.750827431678772,0.35258927941322327/2.206916093826294/0.559116780757904,0.39632949233055115/2.048734426498413/0.6529615521430969,0.37896260619163513/2.156726598739624/0.3504106402397156
23.0,0.36841790819609604/0.8393270710000286/0.25756199542795205,0.287598580121994/-0.20700909197330475/0.4019829034805298,0.2652800381183624/-0.2546824812889099/0.3397904932498932,0.2566711902618408/-0.25085946917533875/0.33961984515190125,0.24791160225868225/-0.24675731360912323/0.3391551971435547,0.287954717874527/-0.2628127634525299/0.31030359864234924,0.29499801993370056/-0.2647054195404053/0.3101123869419098,0.3048042356967926/-0.2646748423576355/0.3096875548362732,0.22749020159244537/-0.21155384182929993/0.03673349320888519,0.3141652047634125/-0.23496071994304657/0.011720643378794193,0.2760509252548218/-0.15635591745376587/0.34439027309417725,0.29690220952033997/-0.16517235338687897/0.315422922372818,0.16724370419979095/0.05638150870800018/-0.0017557338578626513,0.3828054666519165/0.054821595549583435/-0.12193740159273148,0.24213410913944244/0.4460385739803314/0.07483677566051483,0.4942248463630676/0.3438500165939331/-0.0037616132758557796,0.3597726821899414/0.6907951235771179/0.24511994421482086,0.5039867162704468/0.6520695090293884/0.3261878192424774,0.38632887601852417/0.7586680054664612/0.2558356821537018,0.5085057616233826/0.6809137463569641/0.37033942341804504,0.4016469717025757/0.7274109125137329/0.25432273745536804,0.5015878677368164/0.6735625267028809/0.35023096203804016,0.39203208684921265/0.7096250057220459/0.24394041299819946,0.49496304988861084/0.6623780727386475/0.3254709541797638,0.2647944390773773/0.8799699544906616/0.02158486656844616,0.3950590491294861/0.8506540656089783/-0.021223017945885658,0.33190420269966125/1.4223504066467285/0.2396487593650818,0.3744403123855591/1.48814857006073/0.1348733752965927,0.3915434777736664/1.9956344366073608/0.6621578931808472,0.3782294988632202/2.085850954055786/0.44299179315567017,0.39727750420570374/2.0958077907562256/0.7001190185546875,0.37001630663871765/2.1888465881347656/0.468261182308197,0.4055272936820984/2.036641836166382/0.5986579656600952,0.40105217695236206/2.1364636421203613/0.27802184224128723
24.0,0.37174186993528296/0.8039988490442435/0.2860285413485986,0.2750342786312103/-0.2275533676147461/0.5134584903717041,0.2570086419582367/-0.2714812755584717/0.4316861033439636,0.24888651072978973/-0.2677305042743683/0.43174275755882263,0.24066296219825745/-0.26372408866882324/0.4314623773097992,0.2794244885444641/-0.280386745929718/0.4297080636024475,0.2868562936782837/-0.2829541862010956/0.42963457107543945,0.29534628987312317/-0.2850555181503296/0.4293443262577057,0.22397242486476898/-0.22918744385242462/0.13838225603103638,0.30763915181159973/-0.2558211088180542/0.1444985270500183,0.26444974541664124/-0.17791877686977386/0.4312361180782318,0.28569623827934265/-0.18751032650470734/0.43041232228279114,0.16776464879512787/0.03749031201004982/0.043930407613515854,0.38863039016723633/-0.0341610461473465/0.023703834041953087,0.24935927987098694/0.39932069182395935/0.10212855041027069,0.48716452717781067/0.2706815302371979/0.05259759724140167,0.3643075227737427/0.6609784960746765/0.2713634669780731,0.5132086277008057/0.6376075744628906/0.3096620440483093,0.3917500674724579/0.7358750700950623/0.28165197372436523,0.520700216293335/0.6750545501708984/0.366105854511261,0.40635794401168823/0.7147762775421143/0.26373782753944397,0.512746274471283/0.6714853048324585/0.34945207834243774,0.39628270268440247/0.6933493614196777/0.26475098729133606,0.5057862401008606/0.6574879884719849/0.3184761703014374,0.27427467703819275/0.8397992849349976/-0.01599491387605667,0.39328479766845703/0.8100817203521729/0.016588455066084862,0.3377133905887604/1.3811498880386353/0.17973259091377258,0.3715305030345917/1.4437413215637207/0.15215566754341125,0.40062326192855835/1.9442118406295776/0.6131979823112488,0.3893160820007324/2.0218663215637207/0.47821903228759766,0.40890905261039734/2.039860725402832/0.6502958536148071,0.38561928272247314/2.118037462234497/0.5042818188667297,0.40734022855758667/1.9890918731689453/0.5327717661857605,0.40756893157958984/2.0781733989715576/0.3059738576412201
25.0,0.370790332003876/0.8098182808952751/0.293526285569425,0.28040727972984314/-0.23516535758972168/0.46499261260032654,0.2611384987831116/-0.28029757738113403/0.37996208667755127,0.2530542314052582/-0.276552677154541/0.3800189793109894,0.24485322833061218/-0.27257636189460754/0.3797135353088379,0.28226378560066223/-0.2892974615097046/0.37850430607795715,0.28848350048065186/-0.2919498085975647/0.37846753001213074,0.2963404357433319/-0.29446908831596375/0.37816354632377625,0.22567729651927948/-0.23713992536067963/0.09023872017860413,0.3107271194458008/-0.2638745605945587/0.09187813848257065,0.26866385340690613/-0.18369418382644653/0.38326823711395264,0.2889246642589569/-0.19346833229064941/0.38237234950065613,0.1668206751346588/0.034995462745428085/-0.017678292468190193,0.38806337118148804/-0.009349779225885868/-0.0197939183562994,0.237301766872406/0.4235735535621643/0.06987733393907547,0.4938264787197113/0.30243682861328125/0.060059621930122375,0.32602453231811523/0.6737858653068542/0.29352089762687683,0.5200794339179993/0.6429604291915894/0.32821476459503174,0.34916508197784424/0.7580063343048096/0.3151639401912689,0.5249221920967102/0.677170991897583/0.37368839979171753,0.36116892099380493/0.738312304019928/0.3216671049594879,0.5194032192230225/0.6739234924316406/0.35638463497161865,0.35329777002334595/0.7121745347976685/0.30180397629737854,0.5066884160041809/0.6637688279151917/0.32795608043670654,0.2883560359477997/0.8449293375015259/-0.029940063133835793,0.3950594365596771/0.8089423179626465/0.03085016831755638,0.3517685532569885/1.3854954242706299/0.2058553695678711,0.37986403703689575/1.449039101600647/0.198334202170372,0.41457226872444153/1.9462847709655762/0.6142697930335999,0.40290072560310364/2.0207831859588623/0.5649768114089966,0.42241621017456055/2.043041467666626/0.6677764058113098,0.40062662959098816/2.1137285232543945/0.5950209498405457,0.41798195242881775/1.9926260709762573/0.5737772583961487,0.4166310429573059/2.0818068981170654/0.38067421317100525
26.0,0.36445163411122783/0.8160406111963783/0.3028426105501475,0.28063127398490906/-0.25230327248573303/0.45969972014427185,0.2613691985607147/-0.2984946668148041/0.36371320486068726,0.2528626322746277/-0.29481878876686096/0.36380258202552795,0.2442486733198166/-0.2909066379070282/0.36348772048950195,0.28403884172439575/-0.3072580397129059/0.3696076273918152,0.2904459536075592/-0.309659868478775/0.3696126937866211,0.2980254590511322/-0.312054842710495/0.3693212866783142,0.2268724888563156/-0.2529290020465851/0.03091602958738804,0.312950998544693/-0.2794330418109894/0.07093417644500732,0.2687092125415802/-0.1987614631652832/0.36644524335861206,0.29046761989593506/-0.20830734074115753/0.3743269741535187,0.16510158777236938/0.03745940700173378/-0.09335887432098389,0.40328243374824524/0.0035486731212586164/-0.03437598794698715,0.1794547736644745/0.43748781085014343/0.01575618050992489,0.503358781337738/0.32227200269699097/0.09166647493839264,0.2749503254890442/0.6971305012702942/0.2967764139175415,0.527823805809021/0.6465141773223877/0.40434905886650085,0.29311713576316833/0.7798777222633362/0.3162703812122345,0.5287154912948608/0.6817440986633301/0.45466989278793335,0.3094712197780609/0.7570015788078308/0.32132408022880554,0.5223967432975769/0.677558183670044/0.4408702254295349,0.304962158203125/0.7296625971794128/0.3022877871990204,0.5098511576652527/0.6682731509208679/0.4041821360588074,0.28074580430984497/0.8437693119049072/-0.052466996014118195,0.40079277753829956/0.8089712262153625/0.05364500358700752,0.35214099287986755/1.407752513885498/0.1904871165752411,0.38968345522880554/1.4508990049362183/0.23109488189220428,0.41989436745643616/1.9654775857925415/0.6403940916061401,0.41412514448165894/2.0299201011657715/0.5966203808784485,0.43231916427612305/2.0590298175811768/0.6841331720352173,0.4153457283973694/2.1241214275360107/0.6266931891441345,0.41777411103248596/2.0066027641296387/0.5706202387809753,0.4152553677558899/2.089756965637207/0.4127894937992096
27.0,0.37694350050555336/0.8062852888747498/0.17522459132251916,0.2734678089618683/-0.253658652305603/0.11807028949260712,0.2586638331413269/-0.30110734701156616/0.032893117517232895,0.2513585388660431/-0.2980923056602478/0.032910313457250595,0.24385279417037964/-0.29483792185783386/0.03260146453976631,0.2781692445278168/-0.3077472150325775/0.04384540393948555,0.2839670777320862/-0.3095797300338745/0.04398546740412712,0.29017871618270874/-0.3113814890384674/0.04360852763056755,0.2280094027519226/-0.25976815819740295/-0.21520017087459564,0.30192849040031433/-0.2800695300102234/-0.1676938831806183,0.2630341947078705/-0.20148789882659912/0.047405291348695755,0.28177937865257263/-0.2094782441854477/0.061294905841350555,0.16150568425655365/0.04163879156112671/-0.2610222399234772,0.3985164761543274/0.008639894425868988/-0.2137754261493683,0.1897582709789276/0.39053213596343994/-0.0821063295006752,0.48421356081962585/0.27844929695129395/-0.10227297246456146,0.3516092002391815/0.6668861508369446/0.23230557143688202,0.5223411321640015/0.6273550987243652/0.11465378850698471,0.3828074634075165/0.7482730746269226/0.2660752236843109,0.5255323648452759/0.6766399145126343/0.15349356830120087,0.39170166850090027/0.7396975755691528/0.2523235082626343,0.517263650894165/0.6772043704986572/0.12391461431980133,0.3765439987182617/0.7141006588935852/0.23254691064357758,0.5064550638198853/0.6668981313705444/0.10645770281553268,0.312581866979599/0.8499000668525696/-0.06499983370304108,0.3862312436103821/0.8119906783103943/0.06626147031784058,0.3722662031650543/1.412392497062683/0.21544571220874786,0.3830660879611969/1.4503672122955322/0.2790365517139435,0.4399937689304352/1.9648762941360474/0.6496241688728333,0.41312891244888306/2.0019588470458984/0.6189419031143188,0.4547404944896698/2.0559442043304443/0.6882418990135193,0.4190124273300171/2.0821642875671387/0.6465809345245361,0.4271215796470642/2.01759934425354/0.5527369379997253,0.4128641188144684/2.0906567573547363/0.4127238690853119
28.0,0.3976580920042815/0.7830164691506609/0.09765062591543903,0.24746409058570862/-0.26162147521972656/-0.17729713022708893,0.2424393594264984/-0.30633407831192017/-0.25499260425567627,0.23819157481193542/-0.3046034872531891/-0.2549862563610077,0.2337726652622223/-0.30260470509529114/-0.25526145100593567,0.25552651286125183/-0.3077339231967926/-0.22257421910762787,0.26016563177108765/-0.30760881304740906/-0.22239916026592255,0.2647850811481476/-0.3076426386833191/-0.22275599837303162,0.22790977358818054/-0.265418142080307/-0.45749416947364807,0.27854984998703003/-0.2734405994415283/-0.31349748373031616,0.24192465841770172/-0.21003995835781097/-0.2354474514722824,0.25273409485816956/-0.2107083797454834/-0.1937236487865448,0.22399963438510895/0.01370385754853487/-0.489793986082077,0.3439498245716095/-0.0008916614460758865/-0.2577517330646515,0.408950537443161/0.21781621873378754/-0.29582130908966064,0.46005329489707947/0.22969956696033478/-0.007844801992177963,0.5013236403465271/0.6025249361991882/0.020908648148179054,0.5078573822975159/0.6138119101524353/0.2972817122936249,0.5198913216590881/0.6755779981613159/0.047346074134111404,0.4975878894329071/0.6758708357810974/0.36068665981292725,0.5139885544776917/0.6903577446937561/0.027910780161619186,0.48773714900016785/0.6811689734458923/0.27479395270347595,0.49400585889816284/0.6657495498657227/0.022970834746956825,0.487508624792099/0.6665375232696533/0.2707030177116394,0.34202343225479126/0.844765305519104/-0.11365272104740143,0.36771827936172485/0.8178662061691284/0.11494266986846924,0.38975876569747925/1.4111387729644775/0.13744708895683289,0.38134410977363586/1.4319100379943848/0.343757688999176,0.45066019892692566/1.9607876539230347/0.5473072528839111,0.4025954604148865/1.9687199592590332/0.655899703502655,0.4678055942058563/2.053636312484741/0.5755849480628967,0.4080674946308136/2.046457529067993/0.6779764294624329,0.4337158799171448/2.0178072452545166/0.3725701868534088,0.3976430892944336/2.0776567459106445/0.43080368638038635
29.0,0.40034187999036575/0.770365737865817/0.12307243890784404,0.2561492919921875/-0.28957393765449524/-0.3149756193161011,0.2437136173248291/-0.3326507806777954/-0.3857932388782501,0.2439718246459961/-0.3318580389022827/-0.38571304082870483,0.24331270158290863/-0.33072689175605774/-0.3859492838382721,0.26185646653175354/-0.32854798436164856/-0.3577302098274231,0.2668483853340149/-0.32562321424484253/-0.35749199986457825,0.2715969979763031/-0.3229323923587799/-0.35785973072052,0.24455982446670532/-0.28914138674736023/-0.5499238967895508,0.28138789534568787/-0.2797195315361023/-0.4244195520877838,0.24860776960849762/-0.23498450219631195/-0.3582979440689087,0.25956904888153076/-0.22998735308647156/-0.32248497009277344,0.2670576870441437/-0.011528829112648964/-0.55576491355896,0.31537681818008423/-0.001532643917016685/-0.31970468163490295,0.447256863117218/0.20628534257411957/-0.2923097014427185,0.41624870896339417/0.2651469111442566/0.03884553909301758,0.534082293510437/0.590925395488739/0.05011779069900513,0.48003917932510376/0.6101197004318237/0.44720688462257385,0.5533100962638855/0.6617660522460938/0.08357445895671844,0.46514832973480225/0.6778254508972168/0.5271379947662354,0.5364806652069092/0.6819043755531311/0.05779029428958893,0.45853421092033386/0.6924843192100525/0.45749151706695557,0.5256292819976807/0.6546753644943237/0.05120369419455528,0.47093895077705383/0.6809466481208801/0.4318094253540039,0.3586884140968323/0.8296736478805542/-0.12277762591838837,0.3510146141052246/0.8141564726829529/0.12462201714515686,0.4018278121948242/1.3946523666381836/0.11699076741933823,0.37683480978012085/1.4032951593399048/0.4207438826560974,0.4615805447101593/1.9435069561004639/0.5441262722015381,0.39683398604393005/1.927474856376648/0.837744951248169,0.4790509045124054/2.0394656658172607/0.5722660422325134,0.3999560475349426/2.004315137863159/0.870361864566803,0.44076138734817505/2.0108768939971924/0.3420485854148865,0.3823053240776062/2.046846389770508/0.6095327734947205
30.0,0.40045410173910634/0.7728543653782388/0.1395124906880988,0.25707581639289856/-0.29326334595680237/-0.32022222876548767,0.24533487856388092/-0.33386796712875366/-0.38652142882347107,0.24785199761390686/-0.3326120376586914/-0.3865859806537628,0.25050315260887146/-0.3309897780418396/-0.3868931829929352,0.2640077769756317/-0.3306785225868225/-0.3496764600276947,0.2673192620277405/-0.32776397466659546/-0.34947729110717773,0.2700881063938141/-0.32493138313293457/-0.34992271661758423,0.2558400332927704/-0.2894075810909271/-0.5235682725906372,0.2772569954395294/-0.28122594952583313/-0.3587146997451782,0.25058427453041077/-0.23876748979091644/-0.3530276417732239,0.2552185356616974/-0.23483850061893463/-0.3051125705242157,0.2806357443332672/-0.02472671866416931/-0.551128625869751,0.2866978049278259/0.00048042007256299257/-0.282147616147995,0.4625118374824524/0.199900284409523/-0.31623268127441406,0.39929884672164917/0.2756136953830719/0.15989238023757935,0.5395740270614624/0.5930199027061462/0.024493904784321785,0.4505023956298828/0.624402642250061/0.5090782642364502,0.5568739175796509/0.6596379280090332/0.055156461894512177,0.462842732667923/0.6984964609146118/0.5897780060768127,0.541223406791687/0.6805016398429871/0.03643503412604332,0.45719102025032043/0.7482526898384094/0.5128529667854309,0.5303337574005127/0.6541751027107239/0.030918341130018234,0.45606887340545654/0.7148539423942566/0.4902738630771637,0.3674302101135254/0.8321666717529297/-0.14568458497524261,0.341305136680603/0.8178330063819885/0.14725178480148315,0.41196349263191223/1.3932435512542725/0.09027265757322311,0.3747861683368683/1.405440330505371/0.45306771993637085,0.4747708737850189/1.9369287490844727/0.502604603767395,0.3952462375164032/1.9188514947891235/0.880172848701477,0.49277326464653015/2.0334086418151855/0.5298566222190857,0.40205302834510803/1.993803858757019/0.9155755639076233,0.45320257544517517/2.0098137855529785/0.3065982758998871,0.3789997398853302/2.0384726524353027/0.6883968710899353
31.0,0.41090201448511193/0.7774995932079576/0.15010601892222272,0.2649558484554291/-0.2991779148578644/-0.2572180926799774,0.25919589400291443/-0.3431270718574524/-0.3262319564819336,0.2602476477622986/-0.3423992991447449/-0.3261922001838684,0.26089510321617126/-0.3413265347480774/-0.3263445198535919,0.27027133107185364/-0.3381759226322174/-0.3116604685783386,0.2716017961502075/-0.33461564779281616/-0.3114486336708069,0.27186310291290283/-0.3310988247394562/-0.31189653277397156,0.2592807114124298/-0.29851725697517395/-0.4929024577140808,0.2794686257839203/-0.28393036127090454/-0.42785775661468506,0.2592903673648834/-0.24281565845012665/-0.3012121319770813,0.2581421136856079/-0.23760093748569489/-0.28323978185653687,0.2737588584423065/-0.0202309712767601/-0.4862194061279297,0.30462363362312317/0.002560376189649105/-0.36481234431266785,0.45349210500717163/0.25437143445014954/-0.1922055184841156,0.40980762243270874/0.2825334370136261/0.0012935855193063617,0.5391547083854675/0.6013805866241455/0.15275973081588745,0.505593478679657/0.6266735792160034/0.47452986240386963,0.548653781414032/0.6652213335037231/0.21933864057064056,0.5021952986717224/0.6977274417877197/0.5049374103546143,0.5391333699226379/0.6822502017021179/0.1717168539762497,0.4907791316509247/0.7382896542549133/0.4564226567745209,0.5296481251716614/0.6572462916374207/0.15198840200901031,0.4881758391857147/0.7095353007316589/0.45190879702568054,0.3780633211135864/0.8332163095474243/-0.11168410629034042,0.3450351059436798/0.829620361328125/0.11340783536434174,0.4250381290912628/1.3959124088287354/0.11415382474660873,0.3747541010379791/1.4122315645217896/0.4200200140476227,0.4904056787490845/1.9386327266693115/0.5264734029769897,0.40143224596977234/1.9323829412460327/0.8450289964675903,0.5091055631637573/2.0350871086120605/0.5524882078170776,0.40921133756637573/2.010028123855591/0.8784922361373901,0.4699757695198059/2.0215859413146973/0.3142383396625519,0.3851795196533203/2.0482749938964844/0.6210153102874756
32.0,0.3954411921677766/0.7670274278217996/0.1200428115962832,0.25564444065093994/-0.3307824432849884/-0.3802543878555298,0.25886136293411255/-0.3700812757015228/-0.4508908689022064,0.25988802313804626/-0.368935227394104/-0.4507644474506378,0.2607291042804718/-0.36743223667144775/-0.45099279284477234,0.2659448981285095/-0.36488279700279236/-0.40355369448661804,0.2673546075820923/-0.3605802357196808/-0.4032216966152191,0.2682628929615021/-0.35630178451538086/-0.4035571217536926,0.26291772723197937/-0.3205491900444031/-0.6044982075691223,0.27820512652397156/-0.3051642179489136/-0.39362838864326477,0.2526431381702423/-0.27225956320762634/-0.4218834340572357,0.2510022819042206/-0.2658255994319916/-0.3598097562789917,0.29985952377319336/-0.045302603393793106/-0.6415862441062927,0.28280994296073914/-0.005425179377198219/-0.3086074888706207,0.48127010464668274/0.18710589408874512/-0.40916451811790466,0.38559630513191223/0.25958478450775146/0.18220795691013336,0.549457848072052/0.597615122795105/-0.059974305331707,0.38834813237190247/0.6613678336143494/0.554764986038208,0.5639277100563049/0.661726176738739/-0.027448227629065514,0.3886480927467346/0.7793506383895874/0.6443172693252563,0.552465558052063/0.6816714406013489/-0.047164127230644226,0.39415407180786133/0.808492124080658/0.5572917461395264,0.5363108515739441/0.6585797071456909/-0.0530736930668354,0.3904724717140198/0.7690663933753967/0.5309310555458069,0.3829492926597595/0.8073388338088989/-0.15343274176120758,0.34166425466537476/0.8078226447105408/0.15530866384506226,0.42579710483551025/1.3744125366210938/0.07740975171327591,0.3668554723262787/1.383136510848999/0.47480201721191406,0.4869779646396637/1.9192636013031006/0.5045623779296875,0.39888572692871094/1.8947378396987915/0.9311026334762573,0.5040960907936096/2.0176842212677/0.5307314991950989,0.40632763504981995/1.9679834842681885/0.9681244492530823,0.46787288784980774/1.9993410110473633/0.27750664949417114,0.3817524313926697/2.018768548965454/0.7126203775405884
33.0,0.4109877198934555/0.7556865477451572/0.12756198237615604,0.2581360638141632/-0.3158767521381378/-0.2921079993247986,0.2578282952308655/-0.3577696979045868/-0.33023425936698914,0.25696447491645813/-0.3563704490661621/-0.3302972912788391,0.25592005252838135/-0.35464054346084595/-0.33071163296699524,0.26670968532562256/-0.355255663394928/-0.2898792326450348,0.2689034044742584/-0.3527045249938965/-0.29015636444091797,0.27081215381622314/-0.3501795530319214/-0.29056456685066223,0.25486254692077637/-0.3132655620574951/-0.44592007994651794,0.27945709228515625/-0.30752915143966675/-0.3218345046043396,0.25358864665031433/-0.2593270242214203/-0.28766903281211853,0.2553922235965729/-0.25590333342552185/-0.23816880583763123,0.19849909842014313/-0.02913675457239151/-0.5932394862174988,0.3149259686470032/-0.02944624423980713/-0.3048461377620697,0.46565958857536316/0.2317354530096054/-0.18076157569885254,0.45606744289398193/0.2165416032075882/-0.030951624736189842,0.5169090032577515/0.5905296206474304/0.17780187726020813,0.5157955884933472/0.6072693467140198/0.343940794467926,0.5382121801376343/0.6559339165687561/0.2275441735982895,0.5162830948829651/0.7001209259033203/0.40242403745651245,0.5286690592765808/0.6788694858551025/0.1924930363893509,0.4952453374862671/0.726778507232666/0.34906110167503357,0.5150063633918762/0.6590879559516907/0.17355211079120636,0.4855714738368988/0.6989791393280029/0.33026009798049927,0.3681235909461975/0.7996090650558472/-0.12558239698410034,0.35035669803619385/0.7995012402534485/0.12770022451877594,0.4188365340232849/1.361966609954834/0.1274171620607376,0.38225051760673523/1.3812202215194702/0.4040903151035309,0.48856183886528015/1.9028754234313965/0.5297751426696777,0.4201906621456146/1.9076343774795532/0.7433151006698608,0.5055316090583801/1.9974024295806885/0.5461327433586121,0.4285332262516022/1.9856287240982056/0.7656697630882263,0.47523897886276245/1.9862598180770874/0.3489295542240143,0.41076400876045227/2.0260777473449707/0.47514793276786804
